%Y-%m-%d;BMWRET
1973-01-02;0.0477040966577587
1973-01-03;0.00712722315261693
1973-01-04;0.00888330714797902
1973-01-05;-0.0124405690739939
1973-01-08;-0.00356996122660203
1973-01-09;0
1973-01-10;0.00174080395786635
1973-01-11;-0.00174080395786635
1973-01-12;0.00174080395786635
1973-01-15;0
1973-01-16;-0.00174080395786635
1973-01-17;0.0334551735982735
1973-01-18;0.0473702136291108
1973-01-19;0.023489189605078
1973-01-22;-0.00546766336047533
1973-01-23;-0.0330196770050648
1973-01-24;0.0427742389340322
1973-01-25;0.0378561001068771
1973-01-26;0.0092246485328724
1973-01-29;-0.00157084543768349
1973-01-30;-0.0154464633945581
1973-01-31;0.0154464633945581
1973-02-01;-0.00614998390324129
1973-02-02;-0.0234457628974942
1973-02-05;-0.0552599185048575
1973-02-06;-0.0101480059042682
1973-02-07;0.0332386414757346
1973-02-08;-0.00385356931599024
1973-02-09;-0.0226655430859815
1973-02-12;0.00675996242150934
1973-02-13;0.0294942187512142
1973-02-14;-0.013588638086742
1973-02-15;-0.0276578068542417
1973-02-16;0.0199904145287224
1973-02-19;-0.0217176798342251
1973-02-20;0.0266955428867979
1973-02-21;0.00654309858893676
1973-02-22;0.0400725498771628
1973-02-23;-0.0158694934323398
1973-02-26;0.0205176825994604
1973-02-27;0.0216712055828081
1973-02-28;-0.00156604839773866
1973-03-01;-0.00707772693506747
1973-03-02;-0.000552595238060505
1973-03-05;0.00763032217312798
1973-03-06;0.00305152617373228
1973-03-07;0.00101510960186779
1973-03-08;0.0066119800607467
1973-03-09;-0.0127181521567659
1973-03-12;0.0112439694791133
1973-03-13;0.00302360969974824
1973-03-14;0.0224281282859353
1973-03-15;-0.00592166929319404
1973-03-16;0.0205742213327431
1973-03-19;-0.00583528251127863
1973-03-20;-0.0117737209103694
1973-03-21;0.00643235030259515
1973-03-22;0.00391478328770578
1973-03-23;-0.00150387275504826
1973-03-26;-0.0238351279763132
1973-03-27;-0.0120950458805336
1973-03-28;0.0150960869540047
1973-03-29;0
1973-03-30;-0.0030010410734711
1973-04-02;-0.00301007443729251
1973-04-03;-0.00449334502523158
1973-04-04;-0.0230924493232543
1973-04-05;0.00933255745404438
1973-04-06;-0.00157567195603114
1973-04-09;-0.00775688549801323
1973-04-10;-0.00310373891272775
1973-04-11;-0.00279363233928809
1973-04-12;0.0152299287060602
1973-04-13;-0.00615921087989957
