%Y-%m-%d;   DAX.RET
1973-01-02; 0.016768897
1973-01-03; 0.012806558
1973-01-04; 0.006639029
1973-01-05; 0.002334813
1973-01-08;-0.003468264
1973-01-09; 0.000269986
1973-01-10;-0.003696129
1973-01-11; 0.000541751
1973-01-12; 0.008431435
1973-01-15; 0.001860066
1973-01-16;-0.008073386
1973-01-17;-7.2056e-05
1973-01-18; 0.011926435
1973-01-19; 0.01570135
1973-01-22; 0.004423742
1973-01-23;-0.016358341
1973-01-24; 0.017003654
1973-01-25;-0.000191806
1973-01-26;-0.008405765
1973-01-29;-0.006563417
1973-01-30;-0.011250475
1973-01-31;-0.000877578
1973-02-01; 0.001539729
1973-02-02;-0.017924506
1973-02-05;-0.028093862
1973-02-06; 0.001254294
1973-02-07; 0.018205579
1973-02-08; 0.002110499
1973-02-09;-0.016842231
1973-02-12; 0.01350008
1973-02-13; 0.012630285
1973-02-14; 0
1973-02-15;-0.021090509
1973-02-16; 0.006748101
1973-02-19;-0.01331795
1973-02-20; 0.014680523
1973-02-21; 0.00702272
1973-02-22; 0.003319959
1973-02-23;-0.012055402
1973-02-26; 0.002191025
1973-02-27; 0.0049169
1973-02-28;-0.005800097
1973-03-01;-0.00535264
1973-03-02;-0.003801123
1973-03-05; 0.008472432
1973-03-06; 0.000607696
1973-03-07; 0.008049255
1973-03-08; 0.005754154
1973-03-09; 0.000744162
1973-03-12; 0.006997018
1973-03-13; 0.006411487
1973-03-14; 0.01492565
1973-03-15;-0.008821867
1973-03-16; 0.01392347
1973-03-19; 0.004691557
1973-03-20;-0.002150482
1973-03-21; 0.006437622
1973-03-22; 0.007018302
1973-03-23; 0.003275639
1973-03-26;-0.010554827
1973-03-27;-0.014931143
1973-03-28; 0.011498516
1973-03-29; 0.002005249
1973-03-30;-0.002721138
1973-04-02;-0.002273285
1973-04-03;-0.005037087
1973-04-04;-0.013444658
1973-04-05; 0.005176059
1973-04-06; 0.006701407
1973-04-09;-0.007837488
1973-04-10; 0.002518938
1973-04-11; 0.002689315
1973-04-12; 0.003879665
1973-04-13;-0.009407673
1973-04-16;-0.002258963
1973-04-17;-0.011858413
1973-04-18; 0.00147652
1973-04-19; 0.008528225
1973-04-20; 0
1973-04-23; 0
1973-04-24;-0.010004745
1973-04-25;-0.015929428
1973-04-26;-0.00567354
1973-04-27; 0.005325609
1973-04-30;-0.006357277
1973-05-01; 0
1973-05-02;-0.018547816
1973-05-03;-0.009186577
1973-05-04;-0.00296066
1973-05-07;-0.021808706
1973-05-08; 0.012777877
1973-05-09;-0.010023214
1973-05-10;-0.003765313
1973-05-11; 0.000369395
1973-05-14;-0.018837013
1973-05-15;-0.023103305
1973-05-16; 0.01154824
1973-05-17;-0.005445115
1973-05-18;-0.011693195
1973-05-21;-0.016193355
1973-05-22; 0.011637259
1973-05-23; 0.008563791
1973-05-24; 0.003769231
1973-05-25; 0.010482888
1973-05-28;-0.006647211
1973-05-29;-0.020971959
1973-05-30;-0.000535123
1973-05-31; 0
1973-06-01;-0.017151227
1973-06-04; 0.015379163
1973-06-05;-0.006144063
1973-06-06; 0.009438416
1973-06-07;-0.003665648
1973-06-08;-0.00423839
1973-06-11; 0
1973-06-12; 0.006978597
1973-06-13; 0.007093682
1973-06-14;-0.004484083
1973-06-15;-0.003906657
1973-06-18; 0.016427978
1973-06-19; 0.007208876
1973-06-20; 0.011681768
1973-06-21; 0
1973-06-22; 0.00079515
1973-06-25;-0.007039123
1973-06-26;-0.021051706
1973-06-27;-0.003193256
1973-06-28;-0.011444014
1973-06-29;-0.015465303
1973-07-02; 0.006947169
1973-07-03;-0.000460251
1973-07-04;-0.015223369
1973-07-05; 0.000870719
1973-07-06;-0.011421864
1973-07-09;-0.017894758
1973-07-10; 0.014043925
1973-07-11; 0.016693951
1973-07-12;-0.007190602
1973-07-13; 0.012222964
1973-07-16;-0.019229109
1973-07-17;-0.014750265
1973-07-18;-0.011919145
1973-07-19; 0.005571168
1973-07-20;-0.008534526
1973-07-23;-0.008429297
1973-07-24;-0.006925406
1973-07-25;-0.006045586
1973-07-26;-0.030578645
1973-07-27; 0.009842919
1973-07-30; 0.020735726
1973-07-31; 0.015536211
1973-08-01;-0.003995675
1973-08-02; 0.012072044
1973-08-03; 0.022592671
1973-08-06;-0.015787452
1973-08-07;-0.0126563
1973-08-08; 0.016905288
1973-08-09;-0.000896479
1973-08-10; 0.007214582
1973-08-13;-0.005684494
1973-08-14;-0.008312454
