"%Y-%m-%d %H:%M:%S";"BID"
1998-03-23 02:39:18;1.8345
1998-03-23 02:52:14;1.834
1998-03-23 03:05:52;1.833
1998-03-23 03:08:14;1.8345
1998-03-23 03:20:32;1.8331
1998-03-23 03:24:08;1.8335
1998-03-23 03:30:16;1.8333
1998-03-23 03:33:50;1.8327
1998-03-23 03:48:22;1.8325
1998-03-23 03:57:26;1.8332
1998-03-23 04:00:34;1.833
1998-03-23 04:13:14;1.833
1998-03-23 04:55:40;1.832
1998-03-23 05:04:56;1.8325
1998-03-23 05:38:34;1.831
1998-03-23 06:02:36;1.8307
1998-03-23 06:03:22;1.8305
1998-03-23 06:07:02;1.8307
1998-03-23 06:13:26;1.8296
1998-03-23 06:50:24;1.8296
1998-03-23 06:53:44;1.8299
1998-03-23 07:01:08;1.8299
1998-03-23 07:10:36;1.8304
1998-03-23 07:30:02;1.8294
1998-03-23 07:43:30;1.8282
1998-03-23 07:50:12;1.8283
1998-03-23 07:57:30;1.8286
1998-03-23 07:58:48;1.8287
1998-03-23 08:26:14;1.828
1998-03-23 08:39:40;1.8283
1998-03-23 08:41:30;1.8286
1998-03-23 08:56:58;1.8298
1998-03-23 09:19:04;1.8296
1998-03-23 09:20:00;1.8297
1998-03-23 09:23:34;1.8293
1998-03-23 09:24:40;1.8297
1998-03-23 09:25:02;1.8293
1998-03-23 09:28:50;1.8298
1998-03-23 10:05:16;1.826
1998-03-23 10:14:58;1.8265
1998-03-23 10:22:46;1.8262
1998-03-23 10:27:32;1.8272
1998-03-23 10:39:20;1.8269
1998-03-23 10:40:08;1.827
1998-03-23 10:53:12;1.827
1998-03-23 10:54:24;1.827
1998-03-23 10:59:06;1.8278
1998-03-23 11:01:10;1.8277
1998-03-23 11:01:16;1.8278
1998-03-23 11:31:52;1.8252
1998-03-23 12:14:28;1.8263
1998-03-23 13:10:24;1.8248
1998-03-23 15:29:24;1.8256
1998-03-23 18:55:44;1.8253
1998-03-23 20:41:08;1.8258
1998-03-24 01:00:26;1.826
1998-03-24 01:56:42;1.826
1998-03-24 02:11:26;1.826
1998-03-24 02:42:46;1.826
1998-03-24 02:49:48;1.826
1998-03-24 03:03:04;1.8266
1998-03-24 03:06:18;1.8268
1998-03-24 03:07:16;1.8272
1998-03-24 03:16:10;1.828
1998-03-24 03:28:56;1.827
1998-03-24 03:31:20;1.8272
1998-03-24 03:40:38;1.8273
1998-03-24 03:45:30;1.8274
1998-03-24 04:24:28;1.8275
1998-03-24 04:27:56;1.8284
1998-03-24 05:22:00;1.8287
1998-03-24 06:02:26;1.8282
1998-03-24 06:57:54;1.8287
