%Y-%m-%d;BOISE;CITCRP;CONED;CONTIL;DATGEN;DEC;DELTA;GENMIL;GERBER;IBM;MARKET;MOBIL;PANAM;PSNH;TANDY;TEXACO;WEYER
1978-01-31;-0.088695265;-0.128567656;-0.088695265;-0.144513324;-0.094138936;-0.111760538;-0.034799496;-0.110650043;-0.055590266;-0.035828833;-0.05244396;-0.053491629;0.018292591;-0.014432194;-0.084361563;-0.061912732;-0.129698238
1978-02-28;0.008142947;-0.023956098;-0.007777788;0.03155865;-0.106806004;-0.069845275;-0.038330062;0.013066639;0.143646726;-0.048725166;0.005177052;-0.021919438;-0.080574992;-0.030091087;-0.0087813;-0.014823615;-0.149799051
1978-03-31;0.061329513;0.050995932;0.015432357;-0.003333626;0.054765964;0.003621196;0.061329513;-0.029597762;-0.042993119;-0.071401132;0.042461029;0.041508194;0.162569401;0.019338612;0.110564616;0.008559477;0.074328768
1978-04-30;0.105473185;0.111703735;-0.012868042;0.157658939;0.156811122;0.144865587;0.131906442;0.037117866;-0.003863479;0.114362133;0.053239599;0.066323898;0.077404344;-0.015887672;0.045685267;-0.0078555;0.126675393
1978-05-31;0.059246929;-0.004358321;-0.023444787;0.049865997;0.041347252;0.027949922;-0.04083653;0.051749237;0.035627503;-0.027509833;0.05550511;-0.02040681;0.069465318;0.009475892;0.152772987;-0.038774673;-0.04083653
1978-06-30;-0.110862805;-0.000746432;0.02571273;-0.068534185;-0.030990673;-0.028945683;0.015017441;0.000246124;0.019893121;-0.011730067;-0.000746432;-0.051673934;0.011099708;0.023776621;-0.02182097;-0.033039854;-0.002734505
1978-07-31;0.12336539;0.023835794;0.003277067;0.056250453;0.125993512;0.093990781;0.162079902;0.064657789;-0.019735454;0.080348005;0.060929919;0.019952294;0.177986474;-0.021761797;0.169646142;0.033479071;0.144199477
1978-08-31;0.069019174;0.07825285;0.017628228;0.026378891;0.019579448;-0.023234458;-0.027311935;-0.058434779;-0.088383542;0.041749031;0.069946387;0.048399886;0.024440906;0.037928587;0.194400562;-0.006088299;0.032170413
1978-09-30;-0.069875646;0.001876434;0.03782008;-0.022148746;-0.040554173;-0.046765373;-0.093532663;-0.021136087;0.089876442;-0.061409987;-0.007065503;0.052971885;0.063257155;0.050148353;-0.114424022;0.000886825;-0.030287143
1978-10-31;-0.134545319;-0.082628636;-0.078332174;-0.140230383;-0.09781331;-0.089108141;-0.175036681;-0.041505288;-0.157482105;-0.056073704;-0.218469321;-0.080478098;-0.296664169;-0.04253888;-0.239653914;-0.077260937;-0.103292776
1978-11-30;-0.067818958;-0.010956096;0.028457873;-0.044684382;0.037115936;0.056091837;0.047597213;0.003016187;0.069163919;0.024585651;0.074714349;0.030388375;-0.005943554;-0.018016135;0.076557668;0.047597213;-0.039500337
1978-12-31;0.058942536;-0.025091256;-0.000920895;0.040020495;0.027526339;0.104738083;-0.029177064;0.015853055;-0.095833144;0.096648152;0.008980176;0.034273353;-0.025091256;-0.037399104;0.07567155;-0.005908437;-0.040499881
1979-01-31;0.146495174;0.033303465;0.064452751;-0.033090403;-0.016829882;-0.020870292;-0.064310421;-0.041320902;0.032344233;0.024637065;0.047582623;0.050414149;0.010024044;0.055115615;-0.055889318;0.027534219;0.176020726
1979-02-28;-0.042690309;-0.095725006;-0.021228065;-0.030369825;-0.025280755;-0.078445958;-0.072042521;-0.09246236;-0.033435744;-0.027313276;0.000772823;-0.01216912;-0.149429185;-0.010167117;-0.155192889;-0.020217453;-0.048907946
1979-03-31;0.153753299;0.01560296;-0.010064787;0.032036389;0.147793298;0.074276362;0.083425556;-0.054016674;0.052910013;0.040628328;0.105938889;0.01852267;0.032036389;-0.047766654;0.10504802;0.055722954;0.082514395
1979-04-30;-0.053916383;-0.009964495;-0.068653492;0.052070896;-0.001004754;-0.004976954;-0.067593608;0.011796997;-0.102079784;-0.013972517;0.015703251;0.066070191;0.009838132;-0.06125779;-0.108680468;0.047360571;-0.081460497
1979-05-31;-0.0376117;0.010493767;0.020230942;-0.006280183;-0.057311663;-0.039667199;0.049827375;0.023133702;-0.034536352;-0.033513334;0.00263518;-0.101192432;-0.073143129;-0.01829234;-0.171436477;-0.052089719;-0.024352964
1979-06-30;0.04429253;0.079612187;0.052771149;0.076868701;0.007679578;0.04618289;-0.017160249;-0.055094064;0.079612187;-0.046769354;0.061178485;0.073198972;-0.011142177;0.069515726;0.080525012;0.068592791;0.040501057
