date|dayWeek|expl
1885-08-08|(Sat)|Funeral of former President Ulysses S. Grant.
1887-07-02|(Sat)|Saturday before Independence Day.
1887-12-24|(Sat)|Christmas Eve.
Mar. 12, 1888|(Mon)|Blizzard of 1888.
Mar. 13, 1888|(Tue)|Blizzard of 1888.
1888-09-01|(Sat)|Saturday before Labor Day.
1888-11-30|(Fri)|Friday after Thanksgiving Day.
Apr. 29, 1889|(Mon)|Centennial celebration of Washington's inauguration.
Apr. 30, 1889|(Tue)|Centennial celebration of Washington's inauguration.
May 1, 1889|(Wed)|Centennial celebration of Washington's inauguration.
1890-07-05|(Sat)|Saturday after Independence Day.
1891-12-26|(Sat)|Saturday after Christmas.
1892-07-02|(Sat)|Saturday before Independence Day.
1892-10-12|(Wed)|Columbian Celebration.
Oct. 21, 1892|(Fri)|Columbian Celebration.
Oct. 22, 1892|(Sat)|Columbian Celebration.
1893-04-27|(Thu)|Columbian Celebration.
1896-12-26|(Sat)|Saturday after Christmas.
1897-04-27|(Tue)|Grant's birthday.
1898-05-04|(Wed)|Charter Day.
1898-07-02|(Sat)|Saturday before Independence Day.
1898-08-20|(Sat)|Welcome of naval commanders.
1898-09-03|(Sat)|Saturday before Labor Day.
1898-12-24|(Sat)|Saturday before Christmas.
1899-02-11|(Sat)|Saturday before Lincoln's Birthday.
1899-05-29|(Mon)|Monday before Decoration Day.
1899-07-03|(Mon)|Monday before Independence Day.
Sep. 29, 1899|(Fri)|Admiral Dewey Celebration.
Sep. 30, 1899|(Sat)|Admiral Dewey Celebration.
1899-11-25|(Sat)|Funeral of Vice-President Garret A. Hobart.
1900-04-14|(Sat)|Saturday after Good Friday.
1900-09-01|(Sat)|Saturday before Labor Day.
1900-12-24|(Mon)|Christmas Eve.
1901-02-02|(Sat)|Funeral of Queen Victoria of England.
1901-02-23|(Sat)|Saturday after Washington's Birthday.
1901-04-06|(Sat)|Saturday after Good Friday.
1901-04-27|(Sat)|Moved to temporary quarters in Produce Exchange.
1901-05-11|(Sat)|Enlarged temporary quarters in Produce Exchange.
July 5, 1901|(Fri)|Days after Independence Day.
July 6, 1901|(Sat)|Days after Independence Day.
1901-08-31|(Sat)|Saturday before Labor Day.
1901-09-14|(Sat)|Death of President William McKinley.
1901-09-19|(Thu)|Funeral of President William McKinley.
1902-03-29|(Sat)|Saturday after Good Friday.
1902-05-31|(Sat)|Saturday after Decoration Day.
1902-07-05|(Sat)|Saturday after Independence Day.
1902-08-09|(Sat)|Coronation of King Edward VII of England.
1902-08-30|(Sat)|Saturday before Labor Day.
1903-02-21|(Sat)|Saturday before Washington's Birthday.
1903-04-11|(Sat)|Saturday after Good Friday.
1903-04-22|(Wed)|Opening of new NYSE building.
1903-09-05|(Sat)|Saturday before Labor Day.
1903-12-26|(Sat)|Saturday after Christmas.
1904-05-28|(Sat)|Saturday before Decoration Day.
1904-07-02|(Sat)|Saturday before Independence Day.
1904-09-03|(Sat)|Saturday before Labor Day.
1904-12-24|(Sat)|Saturday before Christmas.
1905-04-22|(Sat)|Saturday after Good Friday.
1907-02-23|(Sat)|Saturday after Washington's birthday.
1907-03-30|(Sat)|Saturday after Good Friday.
1907-08-31|(Sat)|Saturday before Labor Day.
1908-04-18|(Sat)|Saturday after Good Friday.
1908-06-26|(Fri)|Closed at 1:00 pm. Funeral of former President Grover Cleveland.
1908-09-05|(Sat)|Saturday before Labor Day.
1908-12-26|(Sat)|Saturday after Christmas.
1909-02-13|(Sat)|Saturday after Lincoln's Birthday.
1909-04-10|(Sat)|Saturday after Good Friday.
1909-05-29|(Sat)|Saturday before Decoration Day.
1909-07-03|(Sat)|Saturday before Independence Day.
1909-09-04|(Sat)|Saturday before Labor Day.
1909-09-25|(Sat)|Reception Day of the Hudson-Fulton Celebration.
1910-03-26|(Sat)|Saturday after Good Friday.
1910-05-07|(Sat)|Closed 11:00 am. Death of King Edward VII of England.
1910-05-20|(Fri)|Closed from 10:00 am to 12:00 noon. Funeral of King Edward VII.
1910-05-28|(Sat)|Saturday before Decoration Day.
1910-07-02|(Sat)|Saturday before Independence Day.
1910-09-03|(Sat)|Saturday before Labor Day.
1910-12-24|(Sat)|Saturday before Christmas.
1911-04-15|(Sat)|Saturday after Good Friday.
1911-09-02|(Sat)|Saturday before Labor Day.
1911-12-23|(Sat)|Saturday before Christmas.
1912-08-31|(Sat)|Saturday before Labor Day.
1912-11-02|(Sat)|Funeral of Vice-President James S. Sherman.
1913-03-22|(Sat)|Saturday after Good Friday.
1913-04-14|(Mon)|Closed from 10:00 am to 12:00 noon. Funeral of J.P. Morgan.
1913-05-31|(Sat)|Saturday after Decoration Day.
1913-07-05|(Sat)|Saturday after Independence Day.
1913-08-30|(Sat)|Saturday before Labor Day.
1913-09-22|(Mon)|Closed from 10:00 am to 12:00 noon. Funeral of Mayor William J. Gaynor.
July 31-Nov. 27, 1914|(Fri-Fri)|Closed pending outbreak of World War I. Reopened for trading in bonds with price restrictions on November 28, 1914; for trading in a limited number of stocks under price restrictions on December 12, 1914; and for trading in all stocks, under price restrictions, on December 15, 1914. All restrictions were removed April 1, 1915.
1916-12-30|(Sat)|Saturday before New Year's Day.
1917-06-05|(Tue)|Draft Registration Day.
1917-08-04|(Sat)|Heat.
1917-08-29|(Wed)|Closed at 12:00 noon. Parade of National Guard.
1917-09-01|(Sat)|Saturday before Labor Day.
1917-10-13|(Sat)|Saturday after Columbus Day.
1917-10-24|(Wed)|Closed at 12:00 noon. Liberty Day.
1918-01-28|(Mon)|Heatless day.
1918-02-04|(Mon)|Heatless day.
1918-02-11|(Mon)|Heatless day.
1918-04-26|(Fri)|Closed at 12:00 noon. Liberty Day.
1918-07-11|(Thu)|Closed from 11:00 am to 12:00 noon. Funeral of former Mayor John Purroy Mitchell.
1918-09-12|(Thu)|Draft registration day.
1918-11-07|(Thu)|Closed at 2:30 pm. False armistice report.
1918-11-11|(Mon)|Armistice signed.
1919-01-07|(Tue)|Closed at 12:30 pm. Funeral of former President Theodore Roosevelt.
1919-03-25|(Tue)|Homecoming of 27th Division.
1919-05-06|(Tue)|Parade of 77th Division.
1919-05-31|(Sat)|Saturday after Decoration Day.
1919-07-05|(Sat)|Saturday after Independence Day.
1919-07-19|(Sat)|Heat and to allow offices to catch up on work.
1919-08-02|(Sat)|To allow offices to catch up on work.
1919-08-16|(Sat)|To allow offices to catch up on work.
1919-08-30|(Sat)|Saturday before Labor Day.
1919-09-10|(Wed)|Return of General John J. Pershing.
1919-12-30|(Tue)|Opened at 10:30 am – traffic block.
1920-02-06|(Fri)|Opened at 10:30 am – traffic block.
1920-04-03|(Sat)|Saturday after Good Friday.
1920-05-01|(Sat)|Many firms changed office locations.
1920-07-03|(Sat)|Saturday before Independence Day.
1920-09-04|(Sat)|Saturday before Labor Day.
1920-09-16|(Thu)|Closed at 12:00 noon. Wall Street explosion.
1921-05-28|(Sat)|Saturday before Decoration Day.
1921-07-02|(Sat)|Saturday before Independence Day.
1921-08-02|(Tue)|Opened at 1:00 pm. Fire in annunciator board.
1921-09-03|(Sat)|Saturday before Labor Day.
1922-12-23|(Sat)|Saturday before Christmas Day.
1923-08-03|(Fri)|Death of President Warren G. Harding.
1923-08-08|(Wed)|Closed from 11:00 am to 12:30 pm during funeral services for President Warren G. Harding in Washington, DC.
1923-08-10|(Fri)|Funeral of President Warren G. Harding at Marion, Ohio.
1924-02-06|(Wed)|Closed at 12:30 pm. Funeral of former President Woodrow Wilson.
1924-05-31|(Sat)|Saturday after Decoration Day.
1925-01-24|(Sat)|Opened at 10:45 am. Eclipse of sun.
1925-09-18|(Fri)|Closed at 2:30 pm. Funeral of Seymour L. Cromwell, former NYSE president.
1925-12-26|(Sat)|Saturday after Christmas Day.
1926-05-29|(Sat)|Saturday before Decoration Day.
1926-07-03|(Sat)|Saturday before Independence Day.
1926-09-04|(Sat)|Saturday before Labor Day.
1927-06-13|(Mon)|Parade for Colonel Charles A. Lindbergh.
1928-04-07|(Sat)|Heavy volume. To allow member firm offices to catch up on work.
1928-04-21|(Sat)|Heavy volume. To allow member firm offices to catch up on work.
