Symbol;ISIN;Code;Name
AA;US0138171014;US0138171014CHF4;ALCOA
AAM;GB00B1XZS820;GB00B1XZS820CHF4;ANGLO PLC
AAPL;US0378331005;US0378331005CHF4;APPLE COMPUTER INC
ABBN;CH0012221716;CH0012221716CHF1;ABB LTD N
ABBNE;CH0037934822;CH0037934822CHF1;ABB LTD N 2. LINIE
ABSI;CH0042927431;CH0042927431USD4;ABSOLUTE INVEST I
ABSIE;CH0021119927;CH0021119927CHF4;ABSOLUTE INVEST I 2L
ABSP;CH0042927381;CH0042927381USD4;APE I
ABSPE;CH0021971509;CH0021971509CHF4;APE I 2. LINIE
ABT;US0028241000;US0028241000CHF4;ABBOTT LABOR
ABX;CA0679011084;CA0679011084CHF4;BARRICK GOLD
ACUN;CH0001366332;CH0001366332CHF4;ACCU N
ADBN;CH0021194664;CH0021194664CHF4;ADVANCED DIGITAL N
ADEN;CH0012138605;CH0012138605CHF1;ADECCO N
ADS;DE0005003404;DE0005003404CHF4;ADIDAS AG
ADVN;CH0008967926;CH0008967926CHF4;ADVAL TECH N
ADXN;CH0029850754;CH0029850754CHF4;ADDEX N
AFFN;CH0019107025;CH0019107025CHF4;AFFICHAGE N
AFG;CH0012132509;CH0012132509CHF4;ARBONIA I
AGEN;CH0012488190;CH0012488190CHF4;AGEN N
AGN;NL0000303709;NL0000303709CHF4;AEGON NV N
AHO;NL0006033250;NL0006033250CHF4;KONINKLIJKE AHOLD
AIRE;CH0010947627;CH0010947627CHF4;AIRESIS N
AKZO;NL0000009132;NL0000009132CHF4;AKZO NOBEL
ALLN;CH0008837566;CH0008837566CHF4;ALLREAL N
ALPN;CH0019199550;CH0019199550CHF4;ALPINE SELECT N
ALPNE;CH0042187747;CH0042187747CHF4;ALPINE SELECT N 2. LINIE
ALSN;CH0024590272;CH0024590272CHF4;ALSO N
ALTN;CH0014424524;CH0014424524USD4;ALTIN N
ALU;FR0000130007;FR0000130007CHF4;ALCATEL LUCENT
ALV;DE0008404005;DE0008404005CHF4;ALLIANZ N
AMGN;US0311621009;US0311621009CHF4;AMGEN INC
AMS;AT0000920863;AT0000920863CHF4;AUSTRIAMICROSYS
AN;DE0005151005;DE0005151005CHF4;BASF
ANFO;CH0014420829;CH0014420829CHF4;UBS SWISS ANFOS
ANG;ZAE000043485;ZAE000043485CHF4;ANGLOGOLD ASH
APEN;CH0009153310;CH0009153310CHF4;AIG N
ARPN;CH0021218067;CH0021218067CHF4;ARPIDA N
ASCN;CH0011339204;CH0011339204CHF4;ASCOM N 10
ASML;NL0006034001;NL0006034001CHF4;ASML HOLDING NV
ATHN;CH0034389707;CH0034389707CHF4;ATEL HOLDING N
ATLN;CH0010532478;CH0010532478CHF1;ACTELION N
AXA;FR0000120628;FR0000120628CHF4;AXA
AXP;US0258161092;US0258161092CHF4;AMEXCO
BA;US0970231058;US0970231058CHF4;BOEING
BAER;CH0029758650;CH0029758650CHF1;JULIUS BAER N
BAERE;CH0038146368;CH0038146368CHF1;JULIUS BAER N 2. LINIE
BALN;CH0012410517;CH0012410517CHF1;BALOISE N
BANB;CH0012530207;CH0012530207CHF4;BACHEM N -B-
BAP;CH0002175773;CH0002175773CHF4;BAUMGARTNER N
BARN;CH0009002962;CH0009002962CHF4;BARRY CALLEBAUT N
BAX;US0718131099;US0718131099CHF4;BAXTER INTL
BAY;DE0005752000;DE0005752000CHF4;BAYER
BBN;CH0028422100;CH0028422100CHF4;BELLEVUE GROUP N
BBVA;CH0004665078;CH0004665078CHF4;BC BILB VIZ A CT-CH
BC;CH0018116472;CH0018116472CHF4;BK COOP
BCAN;CH0021273740;CH0021273740CHF4;BK CA St. Gallen AG N
BCGE;CH0001642682;CH0001642682CHF4;BC GENEVE P
BCHN;CH0025536027;CH0025536027CHF4;BURCKHARDT N
BCJ;CH0032991348;CH0032991348CHF4;BC JURA I
BCVN;CH0015251710;CH0015251710CHF4;BC VAUD N
BEAN;CH0001503199;CH0001503199CHF4;BELIMO N
